+---------+--------------+---------------+-------------+-------------+-------------+----------------+---------+-------+---------+------------+--------------+
| id      | device_code  | persion_index | coodinate_x | coodinate_y | coodinate_z | remaining_time | posture | event | area_id | timestamp  | person_index |
| 7372152 | 9D8A326309E7 |          NULL |           5 |          -5 |           0 |              0 |       4 |     0 |       1 | 1743269287 |            0 |
| 7372151 | 9D8A326309E7 |          NULL |           4 |          -4 |          86 |              0 |       1 |     0 |       1 | 1743269286 |            0 |
| 7372150 | 9D8A326309E7 |          NULL |           4 |          -5 |          93 |              0 |       1 |     0 |       1 | 1743269285 |            0 |
| 7372149 | 9D8A326309E7 |          NULL |           3 |          -4 |         120 |              0 |       1 |     0 |       1 | 1743269284 |            0 |
| 7372148 | 9D8A326309E7 |          NULL |           2 |          -4 |         112 |              0 |       1 |     0 |       1 | 1743269283 |            0 |
| 7372147 | 9D8A326309E7 |          NULL |           1 |          -2 |          88 |              0 |       1 |     0 |       1 | 1743269282 |            0 |
| 7372146 | 9D8A326309E7 |          NULL |           0 |           2 |          52 |              0 |       1 |     0 |       1 | 1743269281 |            0 |
| 7372144 | 9D8A326309E7 |          NULL |           7 |           3 |          66 |              0 |       1 |     0 |       1 | 1743269280 |            0 |
| 7372142 | 9D8A326309E7 |          NULL |          14 |           8 |          88 |              0 |       1 |     0 |       1 | 1743269279 |            0 |
| 7372141 | 9D8A326309E7 |          NULL |          19 |          14 |         106 |              0 |       4 |     1 |       1 | 1743269278 |            0 |
