"id","device_id","time_stamp","left_right","breath","heart","turn_over","body_move","sit_up","init_status","bed_status","signal_quality"
22584689,w4lc57jlk4n4d,1762416931,0,16,82,0,0,0,0,0,0
22584690,w4lc57jlk4n4d,1762416931,0,16,82,0,0,0,0,0,0
22584677,w4lc57jlk4n4d,1762416921,0,16,82,0,0,0,0,0,0
22584678,w4lc57jlk4n4d,1762416921,0,16,82,0,0,0,0,0,0
22584665,w4lc57jlk4n4d,1762416911,0,16,81,0,0,0,0,0,0
22584666,w4lc57jlk4n4d,1762416911,0,16,81,0,0,0,0,0,0
22584653,w4lc57jlk4n4d,1762416901,0,17,79,0,0,0,0,0,0
22584654,w4lc57jlk4n4d,1762416901,0,17,79,0,0,0,0,0,0
22584641,w4lc57jlk4n4d,1762416891,0,16,79,0,0,0,0,0,0
22584642,w4lc57jlk4n4d,1762416891,0,16,79,0,0,0,0,0,0
22584629,w4lc57jlk4n4d,1762416881,0,15,80,0,0,0,0,0,0
22584630,w4lc57jlk4n4d,1762416881,0,15,80,0,0,0,0,0,0
22584617,w4lc57jlk4n4d,1762416871,0,15,79,0,0,0,0,0,0
22584618,w4lc57jlk4n4d,1762416871,0,15,79,0,0,0,0,0,0
22584605,w4lc57jlk4n4d,1762416861,0,15,79,0,0,0,0,0,0
22584606,w4lc57jlk4n4d,1762416861,0,15,79,0,0,0,0,0,0
22584593,w4lc57jlk4n4d,1762416851,0,16,74,0,0,0,0,0,0
22584594,w4lc57jlk4n4d,1762416851,0,16,74,0,0,0,0,0,0
22584581,w4lc57jlk4n4d,1762416841,0,15,76,0,0,0,0,0,0
22584582,w4lc57jlk4n4d,1762416841,0,15,76,0,0,0,0,0,0
22584569,w4lc57jlk4n4d,1762416831,0,14,76,0,0,0,0,0,0
22584570,w4lc57jlk4n4d,1762416831,0,14,76,0,0,0,0,0,0
22584557,w4lc57jlk4n4d,1762416821,0,14,82,0,0,0,0,0,0
22584558,w4lc57jlk4n4d,1762416821,0,14,82,0,0,0,0,0,0
22584543,w4lc57jlk4n4d,1762416811,0,15,81,0,0,0,0,0,0
22584544,w4lc57jlk4n4d,1762416811,0,15,81,0,0,0,0,0,0
22584533,w4lc57jlk4n4d,1762416801,0,15,80,0,0,0,0,0,0
